A,B,C,D,E
56,55,54,76,76
67,70,65,28,28
85,83,82,3,5
73,72,77,88,86
79,80,76,13,11
57,52,54,8,5
72,76,72,25,20
56,56,52,28,33
93,92,87,69,66
90,86,86,16,16
46,42,42,7,4
92,93,88,9,11
26,29,24,92,92
2,3,7,57,62
59,58,54,24,27
44,43,41,87,90
85,86,89,92,89
89,90,95,1,0
66,61,65,32,36
73,72,72,40,36
97,98,99,10,13
49,52,53,99,95
43,41,42,34,34
60,62,60,36,38
38,34,33,84,87
74,74,76,36,32
40,43,48,8,12
44,46,49,35,34
30,26,23,32,34
9,12,15,92,87
75,75,73,83,80
8,11,14,89,85
17,18,15,99,94
37,36,34,51,48
60,59,58,19,24
81,76,71,16,11
58,57,54,93,90
67,69,67,35,38
19,15,13,73,69
92,89,90,96,95
37,32,37,12,13
74,78,79,34,30
4,6,2,54,50
77,73,70,22,27
35,36,38,18,20
94,96,99,10,12
12,11,6,39,37
63,62,59,18,23
71,71,66,20,25
98,99,94,34,34
50,49,46,26,25
62,60,63,47,43
94,89,89,7,9
43,39,41,68,70
9,12,13,13,16
46,44,39,84,89
29,34,29,38,37
46,51,54,60,65
32,34,35,63,62
80,85,85,86,82
15,16,14,2,0
41,38,33,1,1
77,81,80,2,4
27,28,33,70,70
67,62,61,47,49
7,3,3,18,16
3,0,0,76,73
5,1,0,6,5
97,96,99,73,73
78,77,76,15,17
70,71,68,53,49
28,32,35,73,70
19,23,18,89,94
51,50,53,88,92
14,10,9,78,73
47,42,46,90,95
88,92,90,36,39
30,30,28,98,99
96,96,99,69,66
92,87,89,91,87
50,51,56,59,57
15,11,12,30,26
15,15,16,44,44
24,29,24,38,36
45,43,42,5,4
98,95,96,50,49
95,96,96,9,5
28,25,27,99,99
18,20,21,59,64
14,18,17,84,85
38,38,39,85,86
30,28,31,32,32
25,26,23,57,62
97,93,91,21,23
30,28,26,57,61
93,97,96,72,70
73,71,73,21,26
7,2,0,99,99
33,31,34,32,29
29,26,21,52,51
